user;rule_id;goal;user_type;situation;context;context_nl;item;item_nl;label
domainExpert1;0;Safety;Caregiver;ElderlyAlone;timeinsidearoom-timeinsidebathroom;if the user's test time inside the bathroom is more than 30 ;alarms-alarms;"send the alarm ""Time inside bathroom more than 30 minutes"" via sms to 1234123412";1
domainExpert1;0;Safety;Caregiver;ElderlyAlone;none;none;timeinsidearoom-timeinsidebathroom;if the user's test time inside the bathroom is more than 30;1
domainExpert1;0;Safety;Caregiver;ElderlyAlone;none;none;alarms-alarms;"send the alarm ""Time inside bathroom more than 30 minutes"" via sms to 1234123412";1
domainExpert2;1;Wellbeing, Health;Caregiver;GoodWeather;currentweather-weathericon;If the weather weather icon is sun ;reminders-reminders;"send the reminder ""The sun is shining. Please go outside"" to lisa-marie via SMS";1
domainExpert2;1;Wellbeing, Health;Caregiver;GoodWeather;none;none;currentweather-weathericon;If the weather weather icon is sun;1
domainExpert2;1;Wellbeing, Health;Caregiver;GoodWeather;none;none;reminders-reminders;"send the reminder ""The sun is shining. Please go outside"" to lisa-marie via SMS";1
domainExpert3;2;Comfort;Caregiver;Generic;relativeposition-typeofproximity;If the test user is in the bathroom ;bathroom-alllight;turn on all bathroom lights;1
domainExpert3;2;Comfort;Caregiver;Generic;none;none;relativeposition-typeofproximity;If the test user is in the bathroom;1
domainExpert3;2;Comfort;Caregiver;Generic;none;none;bathroom-alllight;turn on all bathroom lights;1
domainExpert4;3;Health;Caregiver;Generic;physiological-steps;if the Test-user daily steps are less than 5000 ;reminders-reminders;"send the reminder ""Exercises on the treadmill"" via email to caregiver.1@provider.it";1
domainExpert4;3;Health;Caregiver;Generic;none;none;physiological-steps;if the Test-user daily steps are less than 5000;1
domainExpert4;3;Health;Caregiver;Generic;none;none;reminders-reminders;"send the reminder ""Exercises on the treadmill"" via email to caregiver.1@provider.it";1
domainExpert4;4;Comfort;Caregiver;Generic;livingroom-lightlevel;when the light level of LivingRoom becomes dimly lit ;livingroom-changelightstate;shed some light in the living room ;1
domainExpert4;4;Comfort;Caregiver;Generic;none;none;livingroom-lightlevel;when the light level of LivingRoom becomes dimly lit;1
domainExpert4;4;Comfort;Caregiver;Generic;none;none;livingroom-changelightstate;shed some light in the living room ;1
domainExpert4;5;Generic;Caregiver;Debug;greatluminaire-state;if the state of Great Luminaire is off ;kitchen-changelightstate;shed some light in the kitchen;1
domainExpert4;5;Generic;Caregiver;Debug;none;none;greatluminaire-state;if the state of Great Luminaire is off;1
domainExpert4;5;Generic;Caregiver;Debug;none;none;kitchen-changelightstate;shed some light in the kitchen;1
domainExpert4;6;Generic;Caregiver;Generic;datetime-localtime;When time becomes  15:22 minutes ;reminders-reminders;"do send  one  reminder  ""You haven't played with Kwido in a long time  try playing a game!"" by notification";1
domainExpert4;6;Generic;Caregiver;Generic;none;none;datetime-localtime;When time becomes  15:22 minutes;1
domainExpert4;6;Generic;Caregiver;Generic;none;none;reminders-reminders;"do send  one  reminder  ""You haven't played with Kwido in a long time  try playing a game!"" by notification";1
domainExpert4;7;Health;Caregiver;Generic;datetime-localtime;When time becomes  14:52 minutes  ;reminders-reminders;"do send  one  reminder ""Remember to take aspirin"" by notification";1
domainExpert4;7;Health;Caregiver;Generic;reminders-reminders;"do send  one  reminder ""Remember to take aspirin"" by notification ";livingroom-hue color light living room;turn on the   Living Room Light and set color to Red;1
domainExpert4;7;Health;Caregiver;Generic;"datetime-localtime;reminders-reminders";"When time becomes  14:52 minutes  do send  one  reminder ""Remember to take aspirin"" by notification ";livingroom-hue color light living room;turn on the   Living Room Light and set color to Red;1
